neighborhoud_id,neighborhoud_name,polygon_concat
3,Dunbar,"POLYGON((-123.203209714543 49.2581884456059, -123.203145341526 49.2574041940153, -123.202995137822 49.256717963651, -123.196557836186 49.256647939608, -123.196579293858 49.2547852635966, -123.196686582219 49.2504434150695, -123.204926328312 49.2492668484188, -123.199004010807 49.2462412625622, -123.196772412907 49.2462412625622, -123.19670757172 49.2348962132472, -123.195763434147 49.2346159926644, -123.185292090153 49.2347841252049, -123.185312588448 49.2321950695685, -123.178746540779 49.2321530342839, -123.178619857178 49.2500161911913, -123.172126604992 49.2500365318586, -123.1728132505 49.2509049392721, -123.174186541515 49.2519273993874, -123.175302340465 49.2528307883061, -123.176073254969 49.2534200169049, -123.176438035395 49.253973240314, -123.176674069788 49.2543233785084, -123.17669552746 49.2546875195958, -123.177285613444 49.2550306500854, -123.180482806589 49.2579086506894))"
4,Arbutus Ridge-Mackenzie Heights,"POLYGON((-123.18051299913 49.2579358171912, -123.177337263656 49.2550508155359, -123.17667207582 49.2546726717514, -123.17667207582 49.2543085305544, -123.176071261001 49.2534541887401, -123.172803578686 49.2508855432821, -123.172127662014 49.2500381455727, -123.17861860783 49.2500329410939, -123.178661523174 49.2423426664469, -123.1467975338 49.2420064522519, -123.146840449145 49.2433653038867, -123.149050589373 49.2464470968555, -123.148886830246 49.2496916607509, -123.149959713852 49.2500138159209, -123.151247174179 49.2507981849359, -123.152148396408 49.251302415579, -123.153028160965 49.2515965477425, -123.152920872604 49.2572839856767))"
8,Shaughnessy,"POLYGON((-123.152874277704 49.2573119949448, -123.138712214105 49.257059910959, -123.137296007745 49.2577041230304, -123.136137293451 49.2579842126127, -123.133948610894 49.2578441680202, -123.131845759027 49.257171948445, -123.127210901849 49.257059910959, -123.12802629339 49.233946743772, -123.155320452325 49.2345912574681, -123.155148790948 49.2383040530385, -123.144269751184 49.2381359324794, -123.144098089807 49.2419465246276, -123.146801756494 49.2420025605538, -123.146844671838 49.2433894294639, -123.149054812066 49.2464291977916, -123.148883150689 49.2497068949578, -123.149913118951 49.2500010366274, -123.152101801507 49.2513176492888, -123.153003023736 49.2515837688587))"
5,Kerrisdale,"POLYGON((-123.178667479889 49.2423487907871, -123.178710395234 49.2347343656904, -123.175738507645 49.2347483767238, -123.175845796006 49.2310142957437, -123.162900128733 49.23095824735, -123.163023977581 49.2272470805882, -123.149483005689 49.2270934555222, -123.149214784787 49.2344638502467, -123.155332646005 49.2345867836606, -123.155150255792 49.238310804024, -123.144263711553 49.2381353453404, -123.144113507848 49.2419447063632))"
6,Southlands,"POLYGON((-123.196731520797 49.2349179837331, -123.196989012862 49.2305043268454, -123.194778872634 49.2298177225536, -123.19108815303 49.2283183698082, -123.19119544139 49.2208579636105, -123.190083250663 49.2206220652347, -123.188688501975 49.2196970640826, -123.188066229484 49.2194307726627, -123.186757311485 49.2185337804815, -123.185233816764 49.2178189781817, -123.181178316734 49.2162491799888, -123.177122816703 49.2159968863432, -123.174226030967 49.2159828699918, -123.170277819297 49.2159548372771, -123.167445406577 49.2153381135309, -123.162016615531 49.213628066533, -123.160042509696 49.2131094340308, -123.157896742484 49.2119319778806, -123.157167181632 49.2113152039426, -123.156072840354 49.2106563687363, -123.154420599601 49.2095349269169, -123.152961477897 49.2079368283718, -123.151180491111 49.2063667163387, -123.150536760948 49.2060442764468, -123.149120554588 49.2074181361616, -123.149297580383 49.2075092581601, -123.149131283424 49.2077966418245, -123.149061545989 49.2082277141893, -123.148932799957 49.2085361213796, -123.14878796067 49.2087569117093, -123.148262247703 49.2090127468899, -123.147974800562 49.2088204288877, -123.147427629923 49.2086346849466, -123.146692704653 49.2085751065535, -123.144450377917 49.2085751065535, -123.154669594263 49.2271951151038, -123.163022124051 49.2272473300406, -123.162903169502 49.2309596519488, -123.175844747122 49.2310235821409, -123.175748187598 49.2347646679329, -123.178720075186 49.2347506569042, -123.178730804022 49.2321515423346, -123.185310039444 49.2322005834979, -123.185288581772 49.2347926899784, -123.195751589285 49.2346297485287))"
10,South Granville,"POLYGON((-123.154652156627 49.2271790619408, -123.147721575308 49.2145433934182, -123.140973245777 49.2144663011695, -123.140978610195 49.2149498778325, -123.140313422359 49.2149358611842, -123.140247272228 49.2173711941763, -123.139517711376 49.2171609543337, -123.13950698254 49.2173782021557, -123.129301649296 49.2171126104051, -123.128636284566 49.2186651401062, -123.128475352025 49.2232642146629, -123.128035469746 49.233959542414, -123.149217475412 49.2344580114006, -123.149470939766 49.2270820820993))"
12,Marpole,"POLYGON((-123.147724538786 49.214543828724, -123.144451329587 49.2085743068376, -123.144150251626 49.2079066669793, -123.143592627394 49.2068279389538, -123.143418283808 49.2065791019784, -123.14311251198 49.2062636730266, -123.142093272555 49.2054067475487, -123.141324998979 49.2047716087234, -123.141029955988 49.2045472956982, -123.140563251619 49.2042721603637, -123.140186112034 49.2041077725548, -123.138858418572 49.2037029514687, -123.137565593827 49.2032998795623, -123.136256675828 49.2028354665531, -123.135851662266 49.2027075331466, -123.135618310082 49.2026549576782, -123.135283033955 49.2026093922269, -123.134824376214 49.202593619561, -123.13507918607 49.2029563896057, -123.133748810399 49.203457603743, -123.131898086178 49.2042339498782, -123.130438964474 49.2047649425858, -123.130393366921 49.2062334669828, -123.127539496529 49.2062089335205, -123.127550225365 49.2057603194931, -123.120428440811 49.2087428253921, -123.115391252281 49.2109717017549, -123.113524434807 49.2114237729104, -123.111357209923 49.2119003705824, -123.109769342186 49.2123909810336, -123.108535526039 49.2125241458874, -123.107312438728 49.2124891025396, -123.106539962532 49.2124049984036, -123.106250283958 49.2168342882242, -123.116839645149 49.216939408952, -123.129285094978 49.217121617684, -123.139509675743 49.2173949295225, -123.139509675743 49.2171636657575, -123.140249965431 49.2173809135676, -123.140325067283 49.2149350685676, -123.140990255119 49.2149490852161, -123.140968797447 49.2144725169366))"
11,Oakridge,"POLYGON((-123.129291734758 49.2171235375936, -123.128626546923 49.2186792924304, -123.128038559591 49.233959352553, -123.116209031008 49.233563018434, -123.105651856325 49.2331706985845, -123.106243353125 49.2168287465686))"
17,South Vancouver,"POLYGON((-123.105923700084 49.2257434451257, -123.106246021542 49.216833353746, -123.106537353609 49.2124082239863, -123.10103627736 49.2107937565174, -123.09924954685 49.210808650454, -123.096145222268 49.2110127373188, -123.074344227395 49.2110688083378, -123.072048256478 49.2110127373188, -123.071956307432 49.2199615228963, -123.070346982023 49.2199405000541, -123.070094854375 49.2199895533386, -123.069161445638 49.2203644589763, -123.066200286886 49.220308398501, -123.065846235296 49.2207323542672, -123.065787226697 49.2251830870352))"
16,Main & Fraser,"POLYGON((-123.105923499909 49.2257542283795, -123.105005294519 49.2488478951337, -123.082656909427 49.2485536775934, -123.082785655459 49.2402397548935, -123.083472300967 49.2402257454179, -123.083611775836 49.2364484413546, -123.082474519214 49.2364554466287, -123.082691041531 49.2290586142299, -123.083839026989 49.2290866395123, -123.083871213498 49.2254517108296))"
9,Cambie,"POLYGON((-123.128023880307 49.2339613392825, -123.127227493305 49.2570678368966, -123.104911514301 49.2566196844814, -123.105018802662 49.2546659725119, -123.104761310596 49.2541967900221, -123.105642234497 49.2331870003161))"
